description,data_type,task-<label>,acq-<label>,ce-<label>,rec-<label>,dir<label>,run-<index>,suffix,bids_name,BIDS_suffix
t1_tse_tra maurizio,anat,,,,,,,T1w,T1w,
dp+t2_tse_tra maurizio_FIL_2,anat,,,,,,,PDT2,PDT2,PDT2
dp+t2_tse_tra maurizio_FIL_1,anat,,,,,,,PDT2,PDT2,PDT2
T1_TSE__TRA POST MDC,anat,,,GD,,,,T1w,ce-GD_T1w,ce-GD_T1w
T1 MDC SAG,anat,,,GD,,,,T1w,ce-GD_T1w,ce-GD_T1w
BOLD_fMRI_64_MB2,func,rest,,,,,,BOLD,task-rest_bold,task-rest
BOLD_fMRI_64_MB2_PA,func,,,,,,,BOLD,dir-PA_task-rest_bold,dir-PA_task-rest
t1_tse_tra,anat,,,,,,,T1w,T1w,
DTI_MB2_monopolar_RL_2mm,dwi,,,,,,,dwi,dwi,
dp+t2_tse_ mdc,anat,,,,,,,PDT2,PDT2,PDT2
T1_TSE_TRA_380,anat,,,,,,,T1w,T1w,
t2_FLAIR 3D_sag_p2_iso MDC,anat,,,,,,,FLAIR,FLAIR,FLAIR
ACT_BOLD_TRA_MOTORIO,func,motor,,,,,,BOLD,task-motor_bold,task-motor
